iter	RMSE
0	77157.60259
1	75118.86067
2	73201.72909
3	71118.63197
4	69119.7402
5	67191.40607
6	65422.676
7	63776.81777
8	62066.36487
9	60552.28719
10	59018.5187
11	57522.70998
12	56251.70601
13	55021.30998
14	53793.62932
15	52631.57995
16	51662.44411
17	50726.0283
18	49862.98225
19	48987.61621
20	48118.45464
21	47282.56385
22	46555.43394
23	45626.21725
24	44930.33714
25	44206.72283
26	43432.87174
27	42773.06096
28	42153.0843
29	41450.55239
30	40958.40877
31	40384.09424
32	39872.72011
33	39369.79036
34	38850.32449
35	38433.90492
36	38002.21748
37	37616.45733
38	37207.83241
39	36778.4413
40	36392.49784
41	36037.18515
42	35698.50292
43	35382.29005
44	35049.84918
45	34776.86014
46	34512.17337
47	34178.15699
48	33943.2141
49	33609.61885
50	33300.77873
51	33016.40459
52	32766.88407
53	32497.88437
54	32297.5859
55	32092.71008
56	31849.64943
57	31614.25867
58	31403.50604
59	31216.04291
60	31050.5504
61	30878.0812
62	30670.78129
63	30440.90877
64	30251.37873
65	30095.89598
66	30041.92706
67	29878.53244
68	29735.30146
69	29605.5075
70	29450.31399
71	29326.68239
72	29151.17731
73	28993.9947
74	28850.21258
75	28695.347
76	28586.51896
77	28462.13219
78	28347.66006
79	28255.38059
80	28138.69015
81	28026.99662
82	27919.23834
83	27811.3154
84	27670.57093
85	27592.39725
86	27519.8094
87	27411.79799
88	27324.7783
89	27243.52342
90	27187.32672
91	27084.85102
92	27008.1852
93	26840.30512
94	26776.39675
95	26695.81735
96	26612.033
97	26508.64268
98	26442.14757
99	26381.21457
100	26287.96232
101	26181.76433
102	26098.67279
103	26028.40063
104	25967.45212
105	25889.72089
106	25803.54295
107	25724.47061
108	25704.17778
109	25592.81465
110	25520.44941
111	25461.57507
112	25392.46143
113	25370.64133
114	25307.49181
115	25273.7696
116	25199.50928
117	25155.50848
118	25107.44491
119	25075.90718
120	25006.59162
121	24965.20497
122	24910.7647
123	24860.09724
124	24786.24389
125	24739.61814
126	24681.38907
127	24640.11223
128	24596.79424
129	24574.03085
130	24507.00173
131	24441.16144
132	24382.69883
133	24305.79392
134	24256.98153
135	24175.61679
136	24126.40528
137	24100.13738
138	24038.28526
139	23965.66851
140	23911.7047
141	23875.40841
142	23785.03793
143	23709.14268
144	23632.82485
145	23610.07533
146	23532.3059
147	23494.94417
148	23471.37726
149	23402.11177
150	23380.76848
151	23322.94993
152	23249.02104
153	23188.95666
154	23134.87268
155	23073.52744
156	23041.60663
157	23019.89099
158	23000.22521
159	22942.35519
160	22911.01646
161	22892.40721
162	22862.65767
163	22843.40251
164	22825.93993
165	22807.58931
166	22767.68595
167	22733.94266
168	22716.70725
169	22645.71836
170	22594.92519
171	22579.24646
172	22493.81812
173	22433.12363
174	22375.53515
175	22330.19769
176	22315.75104
177	22301.65462
178	22286.69006
179	22238.40986
180	22192.04907
181	22178.74109
182	22124.48133
183	22111.45886
184	22097.57918
185	22042.52964
186	21962.59444
187	21882.47252
188	21838.75234
189	21787.7843
190	21743.73233
191	21695.35534
192	21683.72856
193	21623.9213
194	21580.54271
195	21556.76294
196	21504.01365
197	21464.90146
198	21424.55643
199	21413.64769
200	21401.75389
201	21354.84481
202	21338.05214
203	21286.31792
204	21247.66788
205	21207.70712
206	21170.76049
