iter	Passed	Remaining
0	119	23800180
1	127	12712942
2	153	10224853
3	161	8056781
4	169	6775564
5	173	5799801
6	185	5304337
7	190	4756195
8	196	4361975
9	201	4026617
10	211	3845265
11	216	3608332
12	224	3457790
13	229	3276027
14	233	3109720
15	238	2984685
16	242	2847681
17	244	2715889
18	247	2608112
19	252	2524859
20	256	2444020
21	259	2360895
22	261	2277823
23	267	2229773
24	271	2174118
25	276	2128561
26	279	2072966
27	282	2014061
28	283	1957482
29	285	1905086
30	287	1856600
31	289	1811410
32	292	1771290
33	297	1749587
34	299	1713200
35	302	1680547
36	304	1646648
37	306	1614378
38	311	1598203
39	315	1578890
40	319	1559573
41	331	1577940
42	342	1591286
43	345	1569959
44	364	1620356
45	389	1694676
46	395	1681920
47	398	1661629
48	407	1662763
49	411	1646649
50	417	1636621
51	430	1656089
52	435	1644089
53	440	1630503
54	449	1635689
55	453	1619148
56	459	1611181
57	507	1749419
58	512	1736029
59	515	1716839
60	521	1709359
61	525	1696060
62	529	1680440
63	533	1666781
64	539	1658736
65	543	1644969
66	547	1633157
67	553	1626484
68	557	1614064
69	563	1608608
70	570	1607091
71	577	1602517
72	580	1590663
73	587	1587777
74	592	1579579
75	597	1572307
76	603	1566754
77	608	1559850
78	611	1547649
79	617	1542425
80	619	1528565
81	621	1514785
82	625	1507059
83	631	1503155
84	635	1493922
85	640	1488441
86	642	1476891
87	647	1469869
88	650	1461257
89	654	1454144
90	657	1444934
91	661	1438367
92	664	1428433
93	666	1418391
94	671	1413203
95	673	1403232
96	676	1394520
97	679	1385580
98	681	1375844
99	684	1368002
100	686	1359261
101	688	1349743
102	691	1341829
103	693	1332678
104	695	1323559
105	697	1314671
106	699	1307162
107	701	1298694
108	703	1290123
109	705	1282268
110	708	1275139
111	710	1268893
112	713	1262801
113	715	1255341
114	717	1247051
115	724	1248525
116	726	1241544
117	730	1236940
118	733	1231686
119	735	1224834
120	738	1219515
121	742	1216694
122	745	1211856
123	748	1206093
124	750	1200209
125	752	1193662
126	756	1190134
127	760	1187398
128	762	1181780
129	764	1175933
130	767	1171625
131	770	1166994
132	772	1161538
133	776	1157724
134	778	1152688
135	780	1147587
136	783	1142335
137	785	1137182
138	787	1132131
139	791	1129403
140	793	1125444
141	796	1120859
142	798	1116322
143	800	1111455
144	803	1106832
145	806	1103897
146	808	1099806
147	811	1095585
148	813	1090876
149	815	1086919
150	818	1082916
151	821	1079776
152	823	1076067
153	826	1072028
154	828	1067866
155	831	1065234
156	835	1063185
157	837	1059248
158	839	1055136
159	842	1052123
160	845	1049809
161	847	1046001
162	852	1044812
163	856	1043203
164	872	1056844
165	877	1056235
166	881	1054712
167	884	1051861
168	887	1049049
169	892	1049620
170	898	1050079
171	916	1065239
172	922	1065523
173	935	1074585
174	944	1078618
175	956	1085878
176	985	1113102
177	994	1115934
178	1005	1122182
179	1016	1128790
180	1027	1134099
181	1044	1146690
182	1055	1152172
183	1063	1155354
184	1067	1153351
185	1075	1155619
186	1082	1157004
187	1094	1163786
188	1106	1170061
189	1111	1169069
190	1121	1173215
191	1143	1190286
192	1158	1199693
193	1171	1206178
194	1177	1206577
195	1183	1206548
196	1192	1209220
197	1200	1211316
198	1207	1211992
199	1209	1208674
200	1214	1207535
201	1218	1205265
202	1234	1215227
203	1241	1215687
204	1253	1221704
205	1258	1220105
206	1271	1226786
207	1277	1226744
208	1283	1226661
209	1292	1229245
210	1303	1234035
211	1309	1233981
212	1312	1231318
213	1316	1229128
214	1321	1227734
215	1327	1228270
216	1339	1233008
217	1375	1260486
218	1379	1258433
219	1385	1258579
220	1390	1257031
221	1397	1257789
222	1404	1258418
223	1412	1259391
224	1418	1259553
225	1425	1259684
226	1433	1261316
227	1442	1263871
228	1452	1266850
229	1458	1266853
230	1466	1268328
231	1474	1269878
232	1482	1271179
233	1488	1270664
234	1491	1267507
235	1498	1268123
236	1515	1277286
237	1522	1278296
238	1532	1280874
239	1545	1286476
240	1573	1304483
241	1579	1303910
242	1594	1311134
243	1609	1317873
244	1621	1322227
245	1689	1371582
246	1694	1370009
247	1701	1370392
248	1736	1392935
249	1742	1392183
250	1776	1413423
251	1783	1413364
252	1788	1411960
253	1795	1411815
254	1798	1409078
255	1803	1407513
256	1806	1404182
257	1810	1401899
258	1813	1398266
259	1815	1394933
260	1819	1392796
261	1822	1389548
262	1825	1386624
263	1827	1382893
264	1830	1379788
265	1833	1377015
266	1838	1375374
267	1842	1372968
268	1845	1370150
269	1849	1368508
270	1855	1367485
271	1858	1364954
272	1864	1364179
273	1870	1363410
274	1877	1363253
275	1881	1361232
276	1886	1360537
277	1890	1357930
278	1893	1355128
279	1895	1352010
280	1897	1348663
281	1902	1347059
282	1904	1344061
283	1907	1341281
284	1910	1339008
285	1913	1336105
286	1916	1333431
287	1920	1331431
288	1925	1330776
289	1933	1331615
290	1939	1330897
291	1948	1332878
292	1972	1344218
293	1976	1342367
294	1986	1345045
295	1991	1343556
296	1996	1342240
297	2006	1344387
298	2012	1344366
299	2017	1343148
300	2022	1342111
301	2026	1340029
302	2032	1339815
303	2036	1337627
304	2040	1336062
305	2042	1333110
306	2045	1330300
307	2051	1330292
308	2057	1329388
309	2061	1328074
310	2064	1325656
311	2066	1322853
312	2069	1320367
313	2071	1317554
314	2076	1316254
315	2079	1313948
316	2081	1311164
317	2084	1309077
318	2087	1306627
319	2090	1304238
320	2094	1303097
321	2099	1301833
322	2102	1299494
323	2104	1296847
324	2107	1294618
325	2109	1292137
326	2115	1291661
327	2119	1290298
328	2123	1288496
329	2127	1287536
330	2132	1286128
331	2134	1283596
332	2138	1282417
333	2144	1282110
334	2156	1285260
335	2161	1284683
336	2164	1282347
337	2166	1279863
338	2173	1279988
339	2179	1280081
340	2182	1278013
341	2186	1276538
342	2188	1274070
343	2193	1273258
344	2196	1270958
345	2198	1268867
346	2202	1267169
347	2206	1266112
348	2210	1264749
349	2216	1264103
350	2218	1261839
351	2222	1260288
352	2223	1257816
353	2226	1255599
354	2230	1254659
355	2237	1254613
356	2242	1253911
357	2247	1253262
358	2249	1251004
359	2252	1249184
360	2254	1246832
361	2256	1244622
362	2258	1242323
363	2262	1240762
364	2264	1238605
365	2269	1237749
366	2273	1236778
367	2276	1234972
368	2278	1232848
369	2281	1231080
370	2285	1229625
371	2287	1227396
372	2292	1226888
373	2294	1224974
374	2298	1223353
375	2300	1221356
376	2302	1219313
377	2308	1219119
378	2317	1220663
379	2321	1219351
380	2323	1217312
381	2325	1215448
382	2347	1223287
383	2350	1221760
384	2364	1225988
385	2374	1227707
386	2381	1228563
387	2388	1229001
388	2393	1228330
389	2396	1226423
390	2398	1224489
391	2405	1224830
392	2408	1223484
393	2411	1221550
394	2413	1219586
395	2416	1218227
396	2420	1216826
397	2424	1216043
398	2426	1214091
399	2429	1212118
400	2433	1211048
401	2437	1210196
402	2442	1209643
403	2445	1208274
404	2449	1207023
405	2451	1205204
406	2454	1203917
407	2457	1202141
408	2459	1200335
409	2463	1199124
410	2465	1197465
411	2469	1196407
412	2472	1194927
413	2474	1193120
414	2478	1191790
415	2480	1189903
416	2482	1188173
417	2484	1186447
418	2487	1184826
419	2490	1183525
420	2494	1182720
421	2498	1181764
422	2500	1179960
423	2502	1178128
424	2506	1177179
425	2514	1178233
426	2519	1177713
427	2525	1177397
428	2530	1177110
429	2535	1176670
430	2542	1177169
431	2547	1176696
432	2549	1175124
433	2556	1175481
434	2560	1174719
435	2562	1173083
436	2565	1171379
437	2568	1170445
438	2571	1168868
439	2575	1168246
440	2580	1167733
441	2584	1167015
442	2587	1165545
443	2590	1164507
444	2592	1162753
445	2594	1160975
446	2598	1159967
447	2600	1158331
448	2603	1157207
449	2606	1156002
450	2610	1155009
451	2615	1154647
452	2619	1153930
453	2622	1152777
454	2624	1151069
455	2628	1150105
456	2630	1148734
457	2634	1147678
458	2636	1146169
459	2638	1144663
460	2642	1143952
461	2645	1142400
462	2650	1142307
463	2652	1140764
464	2655	1139311
465	2658	1138310
466	2660	1136777
467	2666	1136665
468	2673	1137482
469	2675	1136030
470	2682	1136543
471	2690	1137343
472	2693	1136071
473	2697	1135502
474	2712	1139457
475	2716	1138684
476	2723	1139399
477	2727	1138472
478	2732	1138354
479	2738	1138222
480	2740	1136898
481	2744	1136233
482	2746	1134679
483	2749	1133399
484	2751	1131922
485	2753	1130430
486	2757	1129752
487	2761	1128997
488	2766	1128894
489	2769	1127476
490	2775	1127682
491	2777	1126318
492	2783	1126270
493	2786	1125392
494	2792	1125347
495	2796	1124979
496	2799	1123603
497	2801	1122149
498	2806	1121875
499	2820	1125447
500	2824	1124554
501	2829	1124385
502	2833	1123924
503	2839	1124129
504	2843	1123162
505	2849	1123489
506	2852	1122465
507	2855	1121262
508	2860	1121150
509	2865	1120676
510	2868	1119783
511	2873	1119411
512	2876	1118383
513	2880	1117948
514	2882	1116670
515	2885	1115337
516	2888	1114544
517	2890	1113239
518	2893	1112105
519	2899	1112110
520	2908	1113589
521	2917	1114751
522	2922	1114634
523	2930	1115495
524	2932	1114393
525	2935	1113052
526	2938	1112140
527	2941	1111379
528	2944	1110108
529	2947	1109420
530	2949	1108112
531	2953	1107411
532	2957	1106938
533	2961	1106063
534	2963	1104742
535	2965	1103740
536	2968	1102466
537	2970	1101358
538	2979	1102618
539	2981	1101395
540	2983	1100085
541	2985	1098783
542	2989	1098075
543	2991	1096894
544	2994	1096067
545	2997	1095064
546	2999	1093867
547	3003	1093181
548	3013	1094948
549	3016	1093779
550	3018	1092768
551	3023	1092487
552	3028	1092316
553	3031	1091208
554	3036	1091073
555	3039	1090208
556	3044	1090073
557	3046	1089042
558	3051	1088889
559	3054	1087759
560	3056	1086634
561	3058	1085535
562	3062	1084832
563	3066	1084451
564	3068	1083288
565	3074	1083309
566	3077	1082518
567	3081	1082007
568	3085	1081305
569	3090	1081309
570	3092	1080160
571	3096	1079761
572	3101	1079493
573	3105	1078933
574	3109	1078473
575	3113	1078091
576	3122	1079160
577	3127	1079189
578	3131	1078392
579	3137	1078851
580	3139	1077725
581	3145	1077626
582	3147	1076463
583	3149	1075547
584	3151	1074441
585	3154	1073353
586	3158	1072987
587	3160	1071974
588	3164	1071374
589	3167	1070461
590	3170	1069641
591	3173	1069039
592	3176	1068096
593	3183	1068683
594	3188	1068688
595	3194	1068665
596	3198	1068382
597	3204	1068695
598	3207	1067627
599	3211	1067141
600	3213	1066122
601	3216	1065309
602	3232	1068922
603	3236	1068440
604	3238	1067387
605	3241	1066431
606	3245	1066214
607	3248	1065205
608	3251	1064462
609	3253	1063527
610	3258	1063395
611	3260	1062390
612	3262	1061297
613	3267	1060946
614	3274	1061744
615	3286	1063862
616	3291	1063549
617	3299	1064604
618	3309	1065963
619	3315	1066107
620	3324	1067300
621	3328	1066998
622	3332	1066589
623	3339	1067061
624	3361	1072259
625	3365	1071890
626	3372	1072234
627	3375	1071752
628	3380	1071634
629	3384	1071133
630	3388	1070583
631	3392	1070332
632	3397	1069920
633	3402	1069891
634	3406	1069523
635	3410	1068999
636	3417	1069687
637	3424	1070064
638	3426	1069095
639	3431	1069033
640	3434	1068064
641	3438	1067797
642	3441	1066870
643	3445	1066509
644	3457	1068504
645	3462	1068609
646	3465	1067832
647	3469	1067490
648	3473	1066829
649	3479	1067149
650	3485	1067236
651	3495	1068768
652	3501	1068879
653	3510	1070027
654	3516	1070199
655	3519	1069507
656	3523	1068959
657	3525	1068012
658	3527	1067026
659	3533	1067093
660	3535	1066157
661	3540	1066170
662	3544	1065575
663	3548	1065136
664	3556	1066020
665	3559	1065419
666	3562	1064796
667	3565	1064011
668	3569	1063453
669	3571	1062637
670	3574	1061970
671	3578	1061490
672	3582	1061062
673	3586	1060523
674	3588	1059748
675	3593	1059496
676	3600	1060187
677	3605	1060044
678	3609	1059535
679	3612	1058874
680	3614	1057947
681	3616	1057020
682	3619	1056381
683	3622	1055685
684	3626	1055209
685	3637	1056815
686	3639	1055921
687	3645	1056084
688	3648	1055321
689	3653	1055262
690	3655	1054349
691	3659	1054067
692	3662	1053229
693	3667	1053235
694	3670	1052523
695	3675	1052525
696	3695	1056657
697	3706	1058363
698	3711	1058221
699	3716	1058004
700	3718	1057270
701	3725	1057697
702	3730	1057630
703	3732	1056758
704	3738	1056774
705	3741	1056213
706	3745	1055845
707	3747	1054911
708	3751	1054394
709	3753	1053688
710	3756	1053042
711	3760	1052506
712	3762	1051602
713	3766	1051156
714	3768	1050492
715	3772	1050011
716	3775	1049352
717	3777	1048463
718	3782	1048468
719	3785	1047849
720	3793	1048429
721	3798	1048511
722	3805	1048869
723	3808	1048322
724	3813	1048075
725	3815	1047318
726	3818	1046629
727	3822	1046386
728	3827	1046247
729	3830	1045741
730	3836	1045761
731	3839	1045142
732	3841	1044451
733	3844	1043685
734	3849	1043590
735	3852	1042947
736	3855	1042447
737	3858	1041928
738	3863	1041709
739	3866	1041044
740	3871	1041016
741	3876	1040997
742	3885	1041949
743	3895	1043351
744	3906	1044795
745	3911	1044618
746	3913	1043855
747	3919	1044052
748	3922	1043352
749	3926	1043022
750	3929	1042422
751	3931	1041689
752	3933	1040914
753	3936	1040156
754	3940	1039939
755	3945	1039927
756	3948	1039213
757	3950	1038494
758	3954	1038043
759	3956	1037309
760	3962	1037335
761	3965	1036976
762	3971	1036944
763	3974	1036355
764	3976	1035618
765	3978	1034864
766	3981	1034187
767	3992	1035752
768	4000	1036423
769	4007	1036828
770	4012	1036741
771	4016	1036523
772	4020	1036206
773	4024	1035952
774	4031	1036360
775	4037	1036515
776	4040	1036020
777	4045	1035986
778	4052	1036507
779	4057	1036357
780	4093	1044066
781	4097	1043915
782	4104	1044210
783	4112	1045007
784	4125	1046883
785	4134	1047820
786	4138	1047651
787	4142	1047363
788	4150	1047894
789	4153	1047424
790	4156	1046824
791	4158	1046060
792	4162	1045685
793	4164	1044931
794	4167	1044366
795	4172	1044125
796	4179	1044561
797	4183	1044429
798	4189	1044429
799	4196	1045018
800	4199	1044448
801	4202	1043792
802	4204	1043072
803	4207	1042455
804	4212	1042366
805	4215	1041714
806	4218	1041244
807	4222	1040888
808	4224	1040106
809	4228	1039781
810	4230	1039059
811	4237	1039564
812	4240	1038825
813	4243	1038378
814	4245	1037627
815	4249	1037391
816	4252	1036723
817	4254	1036028
818	4258	1035728
819	4261	1035041
820	4271	1036312
821	4278	1036802
822	4291	1038544
823	4297	1038708
824	4299	1037983
825	4301	1037290
826	4305	1037025
827	4308	1036292
828	4312	1036025
829	4316	1035722
830	4319	1035297
831	4322	1034653
832	4325	1034103
833	4330	1034190
834	4334	1033871
835	4336	1033136
836	4338	1032437
837	4341	1031844
838	4343	1031082
839	4346	1030430
840	4349	1030046
841	4351	1029325
842	4355	1028862
843	4359	1028657
844	4362	1028089
845	4366	1027799
846	4374	1028622
847	4380	1028684
848	4382	1028106
849	4385	1027555
850	4388	1026892
851	4391	1026366
852	4394	1025967
853	4397	1025379
854	4400	1024889
855	4405	1024897
856	4408	1024468
857	4411	1023803
858	4413	1023137
859	4420	1023507
860	4422	1022840
861	4428	1023004
862	4431	1022614
863	4434	1022070
864	4437	1021477
865	4440	1021154
866	4443	1020688
867	4453	1021664
868	4456	1021296
869	4461	1021174
870	4465	1020841
871	4471	1021093
872	4476	1021022
873	4480	1020849
874	4558	1037344
875	4563	1037312
876	4644	1054474
877	4647	1054064
878	4652	1053855
879	4658	1054189
880	4662	1053780
881	4667	1053741
882	4671	1053504
883	4676	1053303
884	4680	1052989
885	4684	1052656
886	4689	1052657
887	4693	1052349
888	4701	1052939
889	4705	1052662
890	4707	1052081
891	4711	1051748
892	4717	1051840
893	4721	1051574
894	4768	1060868
895	4774	1061004
896	4779	1060785
897	4793	1062773
